country,avg_price
Australia,19.96
New Zealand,17.81
Ireland,13.78
Norway,13.49
United Kingdom,12.69
Iceland,11.2
Canada,10.31
Singapore,10.28
Israel,9.36
France,9.18
Puerto Rico,9
Switzerland,8.32
Finland,8.04
Netherlands,7.92
Belgium,7.46
Hong Kong,7.28
Germany,7.23
United States,7
Denmark,6.76
Sweden,6.71
Palestinian Territory,6.69
Malta,6.54
Saudi Arabia,6.4
Italy,6.08
Austria,5.91
Spain,5.74
Portugal,5.74
Cyprus,5.51
Ecuador,5.5
Sri Lanka,5.48
United Arab Emirates,5.44
Greece,5.17
Chile,5.04
Panama,5
Slovenia,4.59
Estonia,4.59
Czech Republic,4.46
Hungary,4.29
Poland,4.26
Slovakia,4.25
Japan,4.2
Romania,4.19
Croatia,4.18
Latvia,4.13
Malaysia,4.11
Lithuania,4.08
South Korea,4.04
Uruguay,4.01
Dominican Republic,3.96
Thailand,3.87
India,3.59
Peru,3.55
Jordan,3.52
Morocco,3.46
Costa Rica,3.32
Taiwan,3.27
Bulgaria,3.22
Montenegro,3.1
Iran,3.09
Bosnia And Herzegovina,3.05
Serbia,2.91
China,2.91
Albania,2.79
South Africa,2.79
Kosovo (Disputed Territory),2.76
Qatar,2.75
Mexico,2.54
Turkey,2.46
Azerbaijan,2.35
Brazil,2.32
Lebanon,2.31
Macedonia,2.23
Tunisia,2.13
Algeria,2.12
Iraq,2.05
Egypt,1.96
Argentina,1.86
Nepal,1.8
Indonesia,1.74
Russia,1.73
Georgia,1.68
Colombia,1.54
Belarus,1.48
Moldova,1.46
Philippines,1.43
Ukraine,1.27
Vietnam,1.08
Pakistan,1.08
Kazakhstan,1.04
Venezuela,1
